Time, Scope1(0), Scope1(1), Scope1(2)
0, 1, 1, 3.1290612816155154
0.1, 1, 1, 3.1290612816155154
0.2, 1, 1, 3.1290612816155154
0.30000000000000004, 1, 0, 3.1275234859084544
0.4, 1, 0, 3.1275234859084544
0.5, 1, 0, 3.127523485908454
0.6, 0, 0, -7.780882825684656E-14
0.7, 0, 0, -6.389753149895279E-14
0.7999999999999999, 0, 1, 3.127523485908455
0.8999999999999999, 0, 1, 3.127523485908455
0.9999999999999999, 0, 1, 3.127523485908455
1.0999999999999999, 1, 1, 3.129061281615515
1.2, 1, 1, 3.1290612816155154
1.3, 1, 0, 3.1275234859084544
1.4000000000000001, 1, 0, 3.1275234859084544
1.5000000000000002, 0, 0, -1.5996108619661617E-13
1.6000000000000003, 0, 0, -1.3136193870610473E-13
1.7000000000000004, 0, 0, -1.0787598009215603E-13
1.8000000000000005, 0, 1, 3.127523485908455
1.9000000000000006, 0, 1, 3.127523485908455
